,0
0,57.38216
1,73.3325
2,64.55969
3,81.43617
4,53.398678
5,60.282127
6,50.1002
7,75.55426
8,53.621113
9,58.902782
10,65.04961
11,50.79892
12,79.00491
13,48.467613
14,58.647957
15,48.319473
16,61.403
17,55.204296
18,59.192574
19,58.3412
20,78.85323
21,52.533905
22,89.30298
23,83.96805
24,45.811203
25,89.73953
26,59.082886
27,63.714012
28,63.110428
29,56.84295
30,82.45116
31,52.00734
32,68.803444
33,54.485817
34,61.831837
35,44.316162
36,80.374535
37,72.54652
38,59.337093
39,60.17242
40,68.67645
41,63.458527
42,96.36574
43,50.498734
44,61.460846
45,56.287376
46,59.13825
47,62.79756
48,81.67236
49,75.71334
50,62.542522
51,45.39819
52,72.3823
53,84.11275
54,46.579628
55,59.668564
56,57.51104
57,44.842415
58,53.13913
59,63.493973
60,73.9232
61,79.316536
62,35.942192
63,61.553642
64,76.40184
65,47.92858
66,75.59201
67,52.069595
68,65.03972
69,52.701736
70,61.1133
71,55.57878
72,75.54312
73,67.55011
74,67.986626
75,85.08374
76,42.633247
77,36.543385
78,49.537483
79,70.41835
80,47.454933
81,72.99859
82,40.20312
83,66.60826
84,64.55478
85,72.18387
86,56.583504
87,99.595665
88,59.830452
89,51.10813
90,75.140335
91,69.02463
92,65.36426
93,53.062645
94,54.9604
95,63.21711
96,48.34941
97,84.05247
98,74.488914
99,54.162224
100,63.520233
101,82.50932
102,62.24173
103,65.97191
104,47.55725
105,64.40957
106,50.77928
107,56.63484
108,46.425983
109,47.99427
110,63.056755
111,65.19964
112,39.03574
113,64.57588
114,42.777267
115,43.045704
116,55.144382
117,64.996925
118,66.894485
119,75.673706
120,68.19148
121,62.566383
122,75.27525
123,71.21588
124,81.10112
125,56.17039
126,53.06566
127,66.04772
128,60.42701
129,31.302057
130,86.75925
131,45.546093
132,61.155025
133,79.32996
134,64.949356
135,52.9336
136,35.204376
137,52.559998
138,62.484932
139,65.13367
140,49.50862
141,76.8242
142,60.772625
143,51.019638
144,53.504738
145,45.794895
146,75.4489
147,120.89848
148,59.015167
149,94.80386
150,74.36417
151,72.83298
152,80.043
153,76.50876
154,59.978256
155,64.791695
156,70.85837
157,44.407887
158,66.25271
159,65.9185
160,90.26828
161,62.09864
162,65.105965
163,64.46547
164,87.12459
165,54.630455
166,59.418934
167,69.97833
168,83.47931
169,53.082138
170,49.65339
171,70.3456
172,58.96244
173,67.42981
174,49.40786
175,67.12706
176,69.95892
177,44.277893
178,82.7932
179,82.645935
180,82.58843
181,73.1764
182,53.666573
183,67.92888
184,77.91643
185,70.67221
186,69.58244
187,75.46557
188,43.94809
189,68.8418
190,69.11434
191,64.674126
192,76.357315
193,72.981445
194,59.90621
195,48.21581
196,46.95878
197,65.49249
198,77.84705
199,69.12964
200,50.01647
201,54.88828
202,51.165123
203,74.769424
204,64.004395
205,95.454
206,61.464127
207,49.843548
208,64.49219
209,51.814598
210,101.14562
211,79.82095
212,58.24933
213,58.11535
214,65.22547
215,54.9382
216,50.79338
217,49.810753
218,49.75548
219,64.081894
220,58.90577
221,74.00952
222,75.99309
223,83.858734
224,73.1953
225,29.16708
226,87.63736
227,86.548355
228,55.26888
229,59.610695
230,82.26993
231,94.06883
232,51.489033
233,68.705154
234,104.274994
235,42.91035
236,60.224724
237,65.514885
238,100.09912
239,49.520744
240,62.81704
241,69.01285
